,operatetime,_c1,day,hour,period,day_type,timestamp
372,2022051011,27782,865,11,1,1,1652151600.0
373,2022051010,39806,865,10,1,1,1652148000.0
374,2022051009,61942,865,9,1,1,1652144400.0
375,2022051008,71521,865,8,1,1,1652140800.0
376,2022051007,4327,865,7,2,1,1652137200.0
377,2022051006,339,865,6,3,1,1652133600.0
378,2022051005,99,865,5,3,1,1652130000.0
379,2022051004,30,865,4,3,1,1652126400.0
380,2022051003,60,865,3,3,1,1652122800.0
381,2022051002,31,865,2,3,1,1652119200.0
382,2022051001,105,865,1,3,1,1652115600.0
383,2022051000,195,865,0,3,1,1652112000.0
384,2022050923,635,864,23,3,1,1652108400.0
385,2022050922,1231,864,22,2,1,1652104800.0
386,2022050921,2036,864,21,2,1,1652101200.0
387,2022050920,3443,864,20,2,1,1652097600.0
388,2022050919,5838,864,19,2,1,1652094000.0
389,2022050918,12862,864,18,1,1,1652090400.0
390,2022050917,29240,864,17,1,1,1652086800.0
391,2022050916,40314,864,16,1,1,1652083200.0
392,2022050915,46154,864,15,1,1,1652079600.0
393,2022050914,48734,864,14,1,1,1652076000.0
394,2022050913,17826,864,13,1,1,1652072400.0
395,2022050912,9052,864,12,1,1,1652068800.0
396,2022050911,28204,864,11,1,1,1652065200.0
397,2022050910,42972,864,10,1,1,1652061600.0
398,2022050909,64194,864,9,1,1,1652058000.0
399,2022050908,72271,864,8,1,1,1652054400.0
400,2022050907,4382,864,7,2,1,1652050800.0
401,2022050906,330,864,6,3,1,1652047200.0
402,2022050905,89,864,5,3,1,1652043600.0
403,2022050904,17,864,4,3,1,1652040000.0
404,2022050903,55,864,3,3,1,1652036400.0
405,2022050902,20,864,2,3,1,1652032800.0
406,2022050901,97,864,1,3,1,1652029200.0
407,2022050900,177,864,0,3,1,1652025600.0
408,2022050823,476,863,23,3,2,1652022000.0
409,2022050822,867,863,22,2,2,1652018400.0
410,2022050821,1284,863,21,2,2,1652014800.0
411,2022050820,1409,863,20,2,2,1652011200.0
412,2022050819,1631,863,19,2,2,1652007600.0
413,2022050818,2018,863,18,1,2,1652004000.0
414,2022050817,3065,863,17,1,2,1652000400.0
415,2022050816,3794,863,16,1,2,1651996800.0
416,2022050815,3772,863,15,1,2,1651993200.0
417,2022050814,3359,863,14,1,2,1651989600.0
418,2022050813,2425,863,13,1,2,1651986000.0
419,2022050812,2259,863,12,1,2,1651982400.0
420,2022050811,3621,863,11,1,2,1651978800.0
421,2022050810,4833,863,10,1,2,1651975200.0
422,2022050809,5821,863,9,1,2,1651971600.0
423,2022050808,3990,863,8,1,2,1651968000.0
424,2022050807,644,863,7,2,2,1651964400.0
425,2022050806,134,863,6,3,2,1651960800.0
426,2022050805,68,863,5,3,2,1651957200.0
427,2022050804,18,863,4,3,2,1651953600.0
428,2022050803,57,863,3,3,2,1651950000.0
429,2022050802,30,863,2,3,2,1651946400.0
430,2022050801,106,863,1,3,2,1651942800.0
431,2022050800,161,863,0,3,2,1651939200.0
432,2022050723,583,862,23,3,1,1651935600.0
433,2022050722,956,862,22,2,1,1651932000.0
434,2022050721,1788,862,21,2,1,1651928400.0
435,2022050720,2734,862,20,2,1,1651924800.0
436,2022050719,4942,862,19,2,1,1651921200.0
437,2022050718,12203,862,18,1,1,1651917600.0
438,2022050717,27420,862,17,1,1,1651914000.0
